Sample,N1,N1.1,N1.2,N2,N2.1,N2.2,N3,N3.1,N3.2
AM_21425_1,NA,NA,NA,NA,NA,NA,6,6,5
AM_21425_2,NA,NA,NA,8,12,14,NA,NA,NA
AM_21425_3,NA,NA,NA,45,20,20,NA,NA,NA
AM_21425_4,NA,NA,NA,3,6,4,NA,NA,NA
AM_21425_5,NA,NA,NA,23,13,13,NA,NA,NA
AM_21425_6,NA,NA,NA,8,20,9,NA,NA,NA
AM_21425_7,NA,NA,NA,21,17,17,NA,NA,NA
AM_21425_8,NA,NA,NA,NA,NA,NA,5,4,5
AM_21425_9,NA,NA,NA,28,10,10,NA,NA,NA
AM_21425_10,29,36,35,NA,NA,NA,NA,NA,NA
AM_21425_11,NA,NA,NA,11,5,4,NA,NA,NA
AM_21425_12,9,9,11,NA,NA,NA,NA,NA,NA
AM_21425_13,NA,NA,NA,15,20,20,NA,NA,NA
AM_21425_14,NA,NA,NA,6,6,5,NA,NA,NA
AM_21425_15,NA,NA,NA,14,15,10,NA,NA,NA
AM_21425_16,34,18,23,NA,NA,NA,NA,NA,NA