Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,CFU_TaqMan,Date_Collected,Collected_By
A1,FALSE,ZH_1,atpe,VIC,Unknown,27.12706469,7.390625112,2576926.469,20241015,ZH
B1,FALSE,ZH_1,atpe,VIC,Unknown,26.69985385,9.505212327,3314230.239,20241015,ZH
C1,FALSE,ZH_1,atpe,VIC,Unknown,26.64817008,9.799017741,3416672.852,20241015,ZH
A10,FALSE,ZH_10,atpe,VIC,Unknown,25.13496523,23.89245388,8330702.189,20241015,ZH
B10,FALSE,ZH_10,atpe,VIC,Unknown,25.03850577,25.28920113,8817713.087,20241015,ZH
C10,FALSE,ZH_10,atpe,VIC,Unknown,25.19764466,23.02646867,8028754.766,20241015,ZH
A11,FALSE,ZH_11,atpe,VIC,Unknown,27.68915701,5.307595356,1850625.996,20241015,ZH
B11,FALSE,ZH_11,atpe,VIC,Unknown,27.55526895,5.743100369,2002475.722,20241015,ZH
C11,FALSE,ZH_11,atpe,VIC,Unknown,27.55246358,5.752597959,2005787.294,20241015,ZH
A12,FALSE,ZH_12,atpe,VIC,Unknown,33.00702897,0.231517975,80724.53808,20241015,ZH
B12,FALSE,ZH_12,atpe,VIC,Unknown,32.24875148,0.361869769,126174.9542,20241015,ZH
C12,FALSE,ZH_12,atpe,VIC,Unknown,31.75458536,0.484127921,168803.3199,20241015,ZH
D1,FALSE,ZH_13,atpe,VIC,Unknown,26.06867714,13.78532454,4806598.516,20241015,ZH
E1,FALSE,ZH_13,atpe,VIC,Unknown,26.04740478,13.95913381,4867201.468,20241015,ZH
F1,FALSE,ZH_13,atpe,VIC,Unknown,26.10469754,13.49593469,4705695.498,20241015,ZH
D2,FALSE,ZH_14,atpe,VIC,Unknown,24.17306498,42.10319944,14680334.53,20241015,ZH
E2,FALSE,ZH_14,atpe,VIC,Unknown,24.20490368,41.32099328,14407598.77,20241015,ZH
F2,FALSE,ZH_14,atpe,VIC,Unknown,24.16452914,42.31541163,14754327.62,20241015,ZH
D3,FALSE,ZH_15,atpe,VIC,Unknown,27.26706859,6.805626899,2372952.196,20241015,ZH
E3,FALSE,ZH_15,atpe,VIC,Unknown,27.30474548,6.656261571,2320872.235,20241015,ZH
F3,FALSE,ZH_15,atpe,VIC,Unknown,27.29692201,6.687004631,2331591.573,20241015,ZH
D4,FALSE,ZH_16,atpe,VIC,Unknown,27.79188904,4.995959663,1741966.41,20241015,ZH
E4,FALSE,ZH_16,atpe,VIC,Unknown,27.98879246,4.448882912,1551214.405,20241015,ZH
F4,FALSE,ZH_16,atpe,VIC,Unknown,27.65594394,5.412447754,1887185.409,20241015,ZH
D5,FALSE,ZH_17,atpe,VIC,Unknown,24.96965061,26.33590693,9182673.266,20241015,ZH
E5,FALSE,ZH_17,atpe,VIC,Unknown,24.83033145,28.58815698,9967976.633,20241015,ZH
F5,FALSE,ZH_17,atpe,VIC,Unknown,24.86374704,28.0309904,9773706.555,20241015,ZH
D6,FALSE,ZH_18,atpe,VIC,Unknown,27.27471821,6.775032166,2362284.577,20241015,ZH
E6,FALSE,ZH_18,atpe,VIC,Unknown,27.20682139,7.051465519,2458669.986,20241015,ZH
F6,FALSE,ZH_18,atpe,VIC,Unknown,27.10124907,7.503861614,2616409.21,20241015,ZH
D7,FALSE,ZH_19,atpe,VIC,Unknown,26.98181494,8.050745524,2807093.976,20241015,ZH
E7,FALSE,ZH_19,atpe,VIC,Unknown,26.94573103,8.223683204,2867393.028,20241015,ZH
F7,FALSE,ZH_19,atpe,VIC,Unknown,26.74814475,9.238660254,3221290.186,20241015,ZH
A2,FALSE,ZH_2,atpe,VIC,Unknown,24.60524745,32.64094367,11381082.17,20241015,ZH
B2,FALSE,ZH_2,atpe,VIC,Unknown,24.71021207,30.68405335,10698763.37,20241015,ZH
C2,FALSE,ZH_2,atpe,VIC,Unknown,24.90275202,27.39434724,9551724.978,20241015,ZH
D8,FALSE,ZH_20,atpe,VIC,Unknown,24.42441805,36.30938691,12660176.75,20241015,ZH
E8,FALSE,ZH_20,atpe,VIC,Unknown,24.49401223,34.85111736,12151714.56,20241015,ZH
F8,FALSE,ZH_20,atpe,VIC,Unknown,24.26497774,39.8844668,13906717.85,20241015,ZH
D9,FALSE,ZH_21,atpe,VIC,Unknown,26.92523513,8.323562179,2902218.333,20241015,ZH
E9,FALSE,ZH_21,atpe,VIC,Unknown,26.91459085,8.375910721,2920470.963,20241015,ZH
F9,FALSE,ZH_21,atpe,VIC,Unknown,26.9934615,7.995707627,2787903.636,20241015,ZH
D10,FALSE,ZH_22,atpe,VIC,Unknown,30.56593773,0.975026717,339967.4745,20241015,ZH
E10,FALSE,ZH_22,atpe,VIC,Unknown,30.53207288,0.994670309,346816.7046,20241015,ZH
F10,FALSE,ZH_22,atpe,VIC,Unknown,30.73561832,0.882291666,307633.0774,20241015,ZH
A3,FALSE,ZH_3,atpe,VIC,Unknown,23.83461709,51.391366,17918886.33,20241015,ZH
B3,FALSE,ZH_3,atpe,VIC,Unknown,23.50861843,62.27026392,21712086.45,20241015,ZH
C3,FALSE,ZH_3,atpe,VIC,Unknown,23.55576624,60.56479977,21117433.67,20241015,ZH
A4,FALSE,ZH_4,atpe,VIC,Unknown,28.31382737,3.673727664,1280937.121,20241015,ZH
B4,FALSE,ZH_4,atpe,VIC,Unknown,28.34278068,3.611608715,1259277.795,20241015,ZH
C4,FALSE,ZH_4,atpe,VIC,Unknown,28.26434065,3.782384484,1318823.042,20241015,ZH
A5,FALSE,ZH_5,atpe,VIC,Unknown,26.11620954,13.40473381,4673896.029,20241015,ZH
B5,FALSE,ZH_5,atpe,VIC,Unknown,25.82539414,15.90921873,5547147.396,20241015,ZH
C5,FALSE,ZH_5,atpe,VIC,Unknown,25.95164977,14.76905232,5149599.833,20241015,ZH
A6,FALSE,ZH_6,atpe,VIC,Unknown,25.49561539,19.31996548,6736389.637,20241015,ZH
B6,FALSE,ZH_6,atpe,VIC,Unknown,25.27987901,21.93773425,7649140.254,20241015,ZH
C6,FALSE,ZH_6,atpe,VIC,Unknown,25.2900838,21.80626985,7603301.9,20241015,ZH
A7,FALSE,ZH_7,atpe,VIC,Unknown,28.97074719,2.49497782,869936.4785,20241015,ZH
B7,FALSE,ZH_7,atpe,VIC,Unknown,28.82918605,2.711927456,945581.4002,20241015,ZH
C7,FALSE,ZH_7,atpe,VIC,Unknown,29.07879005,2.341150304,816300.6639,20241015,ZH
A8,FALSE,ZH_8,atpe,VIC,Unknown,23.04511564,81.81724397,28527630.39,20241015,ZH
B8,FALSE,ZH_8,atpe,VIC,Unknown,22.74117605,97.85717552,34120354.09,20241015,ZH
C8,FALSE,ZH_8,atpe,VIC,Unknown,22.7901249,95.07614153,33150676.96,20241015,ZH
A9,FALSE,ZH_9,atpe,VIC,Unknown,22.77035648,96.18964309,33538927.16,20241015,ZH
B9,FALSE,ZH_9,atpe,VIC,Unknown,22.58731654,107.1395902,37356900.34,20241015,ZH
C9,FALSE,ZH_9,atpe,VIC,Unknown,22.67287252,101.8743236,35521033.34,20241015,ZH