Sample,N1,N1.1,N2,N2.2
PBS_1,100,120,12,11
PBS_2,109,120,18,12
PBS_3,70,80,10,3
PBS_4,140,150,16,25
PBS_5,80,80,14,2
PBS_6,70,70,6,6
PBS_7,75,80,9,5
IgG1_1,160,160,19,12
IgG1_2,91,110,6,13
IgG1_3,180,165,17,24
IgG1_4,130,133,17,15
IgG1_5,140,133,18,11
IgG1_6,150,160,16,14
IgG1_7,NA,NA,15,11
IgG1_8,90,90,12,5
36_1,102,88,14,13
36_2,73,96,10,7
36_3,109,72,10,13
36_4,NA,NA,46,36
36_5,28,35,2,2
36_6,55,75,3,10
36_7,70,80,5,13
136_1,90,84,8,7
136_2,69,90,8,13
136_3,69,103,7,14
136_4,104,67,14,7
136_5,48,61,8,10
136_6,39,77,14,9
136_7,37,40,3,1