Sample,N0,N0.1,N0.2,N1,N1.1,N1.2,N2,N2.1,N2.2
zw135_1,NA,NA,NA,NA,NA,NA,21,18,21
zw135_2,NA,NA,NA,NA,NA,NA,51,57,53
zw135_3,NA,NA,NA,NA,NA,NA,42,43,45
zw135_4,NA,NA,NA,16,17,18,NA,NA,NA
zw135_5,NA,NA,NA,NA,NA,NA,22,21,24
zw135_6,2,3,4,NA,NA,NA,NA,NA,NA
zw135_7,10,13,17,NA,NA,NA,NA,NA,NA
zw135_8,9,9,8,NA,NA,NA,NA,NA,NA
zw135_9,13,13,16,NA,NA,NA,NA,NA,NA
zw135_10,3,3,4,NA,NA,NA,NA,NA,NA
zw135_11,NA,NA,NA,8,7,10,NA,NA,NA
zw135_12,NA,NA,NA,16,15,15,NA,NA,NA
zw135_13,NA,NA,NA,8,14,11,NA,NA,NA
zw135_14,2,3,3,NA,NA,NA,NA,NA,NA
zw135_15,31,32,27,NA,NA,NA,NA,NA,NA