"Well","Omit","Sample","Target","Dye","Task","Cq","Quantity","CFU_TaqMan"
"A1",FALSE,"PBS_1","atpe","VIC","Unknown","32.02010586528141",0.525742494104895,109987.969478011
"A2",FALSE,"PBS_2","atpe","VIC","Unknown","30.391702903736856",1.40628872843803,294202.662853144
"A3",FALSE,"PBS_3","atpe","VIC","Unknown","31.941454400759454",0.551330013,115341.006903766
"A4",FALSE,"PBS_4","atpe","VIC","Unknown","31.17430943",0.876424416063112,183352.388297722
"A5",FALSE,"PBS_5","atpe","VIC","Unknown","30.953772308429528",1.00134690048439,209486.799264517
"A6",FALSE,"PBS_6","atpe","VIC","Unknown","32.51648539338942",0.389511701192249,81487.8035967048
"A7",FALSE,"PBS_7","atpe","VIC","Unknown","33.13562898616517",0.267950151308955,56056.5170102417
"B1",FALSE,"PBS_1","atpe","VIC","Unknown","31.848125127879207",0.583313089313533,122032.02705304
"B2",FALSE,"PBS_2","atpe","VIC","Unknown","30.72613647296064",1.14899300884759,240375.106453471
"B3",FALSE,"PBS_3","atpe","VIC","Unknown","32.19535329924767",0.472919522,98937.1384937238
"B4",FALSE,"PBS_4","atpe","VIC","Unknown","31.21986296118051",0.852630738073878,178374.631396209
"B5",FALSE,"PBS_5","atpe","VIC","Unknown","31.354022503886313",0.786243055984965,164485.994975934
"B6",FALSE,"PBS_6","atpe","VIC","Unknown","32.36674845202165",0.426395155369078,89204.0073993887
"B7",FALSE,"PBS_7","atpe","VIC","Unknown","32.61478603106434",0.367050575728855,76788.8233742375
"C1",FALSE,"PBS_1","atpe","VIC","Unknown","31.721909190137048",0.629537262308192,131702.356131421
"C2",FALSE,"PBS_2","atpe","VIC","Unknown","30.76285117853204",1.12378506563507,235101.478166332
"C3",FALSE,"PBS_3","atpe","VIC","Unknown","31.580047114447837",0.685877866568823,143489.09342444
"C4",FALSE,"PBS_4","atpe","VIC","Unknown","31.311174006299225",0.806864284,168800.059414226
"C5",FALSE,"PBS_5","atpe","VIC","Unknown","31.631938095576913",0.664707110768675,139060.065014367
"C6",FALSE,"PBS_6","atpe","VIC","Unknown","32.59207360824392",0.372122360868105,77849.8662903985
"C7",FALSE,"PBS_7","atpe","VIC","Unknown","32.68351826721148",0.352119610687645,73665.1905204278
"D1",FALSE,"IgG1_1","atpe","VIC","Unknown","30.15482670062495",1.62267686658076,339472.147820242
"D2",FALSE,"IgG1_2","atpe","VIC","Unknown","32.401083594034624",0.417640437126094,87372.4763862121
"D3",FALSE,"IgG1_3","atpe","VIC","Unknown","30.496395120836134",1.3200874827919,276168.929454372
"D4",FALSE,"IgG1_4","atpe","VIC","Unknown","30.64280418",1.20832626072088,252787.920652903
"D5",FALSE,"IgG1_5","atpe","VIC","Unknown","30.473725000552797",1.3382938143422,279977.785427239
"D6",FALSE,"IgG1_6","atpe","VIC","Unknown","30.533502315244924",1.29081972149867,270045.966840726
"D7",FALSE,"IgG1_7","atpe","VIC","Unknown","30.993633560227934",0.977517987932398,204501.671115564
"D8",FALSE,"IgG1_8","atpe","VIC","Unknown","31.372786438723523",0.777379472826352,162631.688875806
"E1",FALSE,"IgG1_1","atpe","VIC","Unknown","30.301674016751512",1.48490457222606,310649.492097501
"E2",FALSE,"IgG1_2","atpe","VIC","Unknown","32.92065086570153",0.305116282704157,63831.8583063089
"E3",FALSE,"IgG1_3","atpe","VIC","Unknown","30.386629610988443",1.41060608934253,295105.876431491
"E4",FALSE,"IgG1_4","atpe","VIC","Unknown","31.21117701073667",0.857117226855392,179313.227375605
"E5",FALSE,"IgG1_5","atpe","VIC","Unknown","30.054949947574713",1.72361484041322,360588.878747535
"E6",FALSE,"IgG1_6","atpe","VIC","Unknown","29.08718848914377",3.09304237344125,647079.994443776
"E7",FALSE,"IgG1_7","atpe","VIC","Unknown","30.544421533650407",1.28233156382073,268270.201636135
"E8",FALSE,"IgG1_8","atpe","VIC","Unknown","31.007364457672516",0.969441704846422,202812.072143603
"F1",FALSE,"IgG1_1","atpe","VIC","Unknown","30.01022370675082",1.77082899013056,370466.315926895
"F2",FALSE,"IgG1_2","atpe","VIC","Unknown","33.01538760481824",0.288141605091334,60280.6705211996
"F3",FALSE,"IgG1_3","atpe","VIC","Unknown","30.021307570736013",1.75900939701044,367993.597700929
"F4",FALSE,"IgG1_4","atpe","VIC","Unknown","31.042379078659465",0.949147438569023,198566.409742473
"F5",FALSE,"IgG1_5","atpe","VIC","Unknown","29.881252688313452",1.9143409514947,400489.738806423
"F6",FALSE,"IgG1_6","atpe","VIC","Unknown","29.707631606213305",2.12607394716426,444785.344595034
"F7",FALSE,"IgG1_7","atpe","VIC","Unknown","30.166520701265036",1.61125203217582,337082.015099544
"F8",FALSE,"IgG1_8","atpe","VIC","Unknown","30.728804104341727",1.14714254166864,239987.979428586
"A1",FALSE,"36_1","atpe","VIC","Unknown","31.55061227",0.86172787,180277.79707113
"A2",FALSE,"36_2","atpe","VIC","Unknown","31.004816226021376",1.19706544826734,250432.102147978
"A3",FALSE,"36_3","atpe","VIC","Unknown","31.960491724621782",0.67324025114829,140845.240826002
"A4",FALSE,"36_4","atpe","VIC","Unknown","30.081863958034937",2.08692705221716,436595.617618653
"A5",FALSE,"36_5","atpe","VIC","Unknown","34.62888899592683",0.134982102287375,28238.9335329237
"A6",FALSE,"36_6","atpe","VIC","Unknown","32.57839273559604",0.464049116772062,97081.4051824396
"A7",FALSE,"36_7","atpe","VIC","Unknown","31.63244973883853",0.820287945760553,171608.356853672
"B1",FALSE,"36_1","atpe","VIC","Unknown","30.88113365",1.28963228116682,269797.54836126
"B2",FALSE,"36_2","atpe","VIC","Unknown","30.911332059729894",1.26639092222798,264935.339378239
"B3",FALSE,"36_3","atpe","VIC","Unknown","31.544312947897716",0.865003107400707,180962.993180064
"B4",FALSE,"36_4","atpe","VIC","Unknown","30.16313908067682",1.98724098117459,415740.791040709
"B5",FALSE,"36_5","atpe","VIC","Unknown","33.99562393205436",0.197651735650464,41349.7354917288
"B6",FALSE,"36_6","atpe","VIC","Unknown","32.01747230060124",0.650530025651647,136094.147625868
"B7",FALSE,"36_7","atpe","VIC","Unknown","31.90171359980389",0.697497944213882,145920.072011272
"C1",FALSE,"36_1","atpe","VIC","Unknown","31.033206657279003",1.1767728739272,246186.793708619
"C2",FALSE,"36_2","atpe","VIC","Unknown","30.986631013143004",1.21024713948475,253189.778134886
"C3",FALSE,"36_3","atpe","VIC","Unknown","32.10309995011937",0.617834634853694,129254.107709978
"C4",FALSE,"36_4","atpe","VIC","Unknown","30.124241172026835",2.0343417503348,425594.508438243
"C5",FALSE,"36_5","atpe","VIC","Unknown","34.21328671834834",0.173369622772464,36269.7955590928
"C6",FALSE,"36_6","atpe","VIC","Unknown","32.13339799581449",0.606663805882167,126917.11420129
"C7",FALSE,"36_7","atpe","VIC","Unknown","32.047116725726106",0.639019527161972,133686.09354853
"D1",FALSE,"136_1","atpe","VIC","Unknown","31.80931799534668",0.737408470626834,154269.554524442
"D2",FALSE,"136_2","atpe","VIC","Unknown","31.22140743308148",1.05068015338079,219807.563468785
"D3",FALSE,"136_3","atpe","VIC","Unknown","31.98479078712292",0.66346021485683,138799.208129044
"D4",FALSE,"136_4","atpe","VIC","Unknown","31.68134288",0.796487188927853,166629.119022563
"D5",FALSE,"136_5","atpe","VIC","Unknown","32.19297456743304",0.585283661286141,122444.280603795
"D6",FALSE,"136_6","atpe","VIC","Unknown","31.867122926685525",0.712180032194619,148991.638534439
"D7",FALSE,"136_7","atpe","VIC","Unknown","31.74690658276586",0.765651667039503,160178.173020816
"E1",FALSE,"136_1","atpe","VIC","Unknown","31.627418958895042",0.82277688495595,172129.055430115
"E2",FALSE,"136_2","atpe","VIC","Unknown","31.90804094814198",0.694845219984045,145365.108783273
"E3",FALSE,"136_3","atpe","VIC","Unknown","31.85045799814423",0.719363413864273,150494.438046919
"E4",FALSE,"136_4","atpe","VIC","Unknown","32.09821669822597",0.619654229759642,129634.776100344
"E5",FALSE,"136_5","atpe","VIC","Unknown","32.11636228827737",0.612919745139405,128225.888104478
"E6",FALSE,"136_6","atpe","VIC","Unknown","31.189673835472817",1.07095235198401,224048.609201676
"E7",FALSE,"136_7","atpe","VIC","Unknown","32.956819337484475",0.36947927078233,77296.9185737093
"F1",FALSE,"136_1","atpe","VIC","Unknown","31.659204474733542",0.807177194844424,168865.52193398
"F2",FALSE,"136_2","atpe","VIC","Unknown","31.40703939115884",0.939550782577663,196558.741125034
"F3",FALSE,"136_3","atpe","VIC","Unknown","31.681733969303444",0.796299620254964,166589.878714428
"F4",FALSE,"136_4","atpe","VIC","Unknown","31.770524635120765",0.754838696243218,157916.045239167
"F5",FALSE,"136_5","atpe","VIC","Unknown","32.603682428425074",0.457035223434411,95614.0634800022
"F6",FALSE,"136_6","atpe","VIC","Unknown","31.67086516710765",0.801528815756112,167683.852668643
"F7",FALSE,"136_7","atpe","VIC","Unknown","32.26443404454862",0.560630673096132,117286.751693751
