Well,Omit,Sample,Target,Dye,Task,Cq,Quantity,CFU_TaqMan
A1,FALSE,AM_91224_L_1,atpe,VIC,Unknown,34.04540596833115,0.073120848,198864.231
A2,FALSE,AM_91224_L_1,atpe,VIC,Unknown,35.99896685575797,0.024446937,66487.48579
A3,FALSE,AM_91224_L_1,atpe,VIC,Unknown,37.02625350845651,0.013740881,37370.59763
A4,FALSE,AM_91224_S_1,atpe,VIC,Unknown,36.06322001972684,0.023581678,64134.27071
A5,FALSE,AM_91224_S_1,atpe,VIC,Unknown,Undetermined,0,0
A6,FALSE,AM_91224_S_1,atpe,VIC,Unknown,Undetermined,0,0
A7,FALSE,AM_91224_L_9,atpe,VIC,Unknown,Undetermined,0,0
A8,FALSE,AM_91224_L_9,atpe,VIC,Unknown,35.00093323183883,0.042786754,116365.649
A9,FALSE,AM_91224_L_9,atpe,VIC,Unknown,34.69996400427296,0.050654095,137762.1831
B1,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.29063110036479,0.036370513,98915.61992
B2,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.99601154537413,0.024487489,66597.77343
B3,FALSE,AM_91224_L_2,atpe,VIC,Unknown,35.46684052637707,0.032948161,89607.96925
B4,FALSE,AM_91224_S_2,atpe,VIC,Unknown,Undetermined,0,0
B5,FALSE,AM_91224_S_2,atpe,VIC,Unknown,Undetermined,0,0
B6,FALSE,AM_91224_S_2,atpe,VIC,Unknown,36.11956829390921,0.022848111,62139.21504
B7,FALSE,AM_91224_L_10,atpe,VIC,Unknown,Undetermined,0,0
B8,FALSE,AM_91224_L_10,atpe,VIC,Unknown,Undetermined,0,0
B9,FALSE,AM_91224_L_10,atpe,VIC,Unknown,34.006386405770186,0.074738602,203263.9803
C1,FALSE,AM_91224_L_3,atpe,VIC,Unknown,36.03204509,0.023997599,65265.43678
C2,FALSE,AM_91224_L_3,atpe,VIC,Unknown,35.389447725145004,0.03440973,93582.9477
C3,FALSE,AM_91224_L_3,atpe,VIC,Unknown,37.03675711771203,0.013660176,37151.1057
C4,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,0,0
C5,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,0,0
C6,FALSE,AM_91224_S_3,atpe,VIC,Unknown,Undetermined,0,0
C7,FALSE,AM_91224_L_11,atpe,VIC,Unknown,33.99331401285369,0.07528855,204759.6548
C8,FALSE,AM_91224_L_11,atpe,VIC,Unknown,33.52032814584422,0.098159239,266960.2734
C9,FALSE,AM_91224_L_11,atpe,VIC,Unknown,34.749307758989204,0.049271548,134002.1175
D1,FALSE,AM_91224_L_4,atpe,VIC,Unknown,34.341265802244024,0.061941321,168459.6606
D2,FALSE,AM_91224_L_4,atpe,VIC,Unknown,34.520132039896836,0.05602929,152380.9142
D3,FALSE,AM_91224_L_4,atpe,VIC,Unknown,34.218237243075706,0.06636602,180493.3598
D4,FALSE,AM_91224_S_4,atpe,VIC,Unknown,Undetermined,0,0
D5,FALSE,AM_91224_S_4,atpe,VIC,Unknown,Undetermined,0,0
D6,FALSE,AM_91224_S_4,atpe,VIC,Unknown,Undetermined,0,0
D7,FALSE,AM_91224_L_12,atpe,VIC,Unknown,Undetermined,0,0
D8,FALSE,AM_91224_L_12,atpe,VIC,Unknown,33.89420121427612,0.079591965,216463.5031
D9,FALSE,AM_91224_L_12,atpe,VIC,Unknown,35.38260219906867,0.034542088,93942.91715
E1,FALSE,AM_91224_L_5,atpe,VIC,Unknown,35.80671010210855,0.027230226,74057.1
E2,FALSE,AM_91224_L_5,atpe,VIC,Unknown,35.12230105310829,0.039971324,108708.6218
E3,FALSE,AM_91224_L_5,atpe,VIC,Unknown,36.01817935,0.024184938,65774.9371
E4,FALSE,AM_91224_S_5,atpe,VIC,Unknown,Undetermined,0,0
E5,FALSE,AM_91224_S_5,atpe,VIC,Unknown,Undetermined,0,0
E6,FALSE,AM_91224_S_5,atpe,VIC,Unknown,34.88387241941069,0.045689996,124261.496
E7,FALSE,AM_91224_S_9,atpe,VIC,Unknown,35.83575429334665,0.026790272,72860.57372
E8,FALSE,AM_91224_S_9,atpe,VIC,Unknown,Undetermined,0,0
E9,FALSE,AM_91224_S_9,atpe,VIC,Unknown,Undetermined,0,0
F1,FALSE,AM_91224_L_6,atpe,VIC,Unknown,35.45718482974779,0.033127065,90094.52824
F2,FALSE,AM_91224_L_6,atpe,VIC,Unknown,Undetermined,0,0
F3,FALSE,AM_91224_L_6,atpe,VIC,Unknown,Undetermined,0,0
F4,FALSE,AM_91224_S_6,atpe,VIC,Unknown,35.57293654876477,0.031044883,84431.69017
F5,FALSE,AM_91224_S_6,atpe,VIC,Unknown,Undetermined,0,0
F6,FALSE,AM_91224_S_6,atpe,VIC,Unknown,Undetermined,0,0
F7,FALSE,AM_91224_S_10,atpe,VIC,Unknown,Undetermined,0,0
F8,FALSE,AM_91224_S_10,atpe,VIC,Unknown,Undetermined,0,0
F9,FALSE,AM_91224_S_10,atpe,VIC,Unknown,34.64683093259687,0.052186222,141929.0543
G1,FALSE,AM_91224_L_7,atpe,VIC,Unknown,Undetermined,0,0
G2,FALSE,AM_91224_L_7,atpe,VIC,Unknown,36.949289265340504,0.014346973,39018.9653
G3,FALSE,AM_91224_L_7,atpe,VIC,Unknown,Undetermined,0,0
G4,FALSE,AM_91224_S_7,atpe,VIC,Unknown,34.146342971186584,0.06909659,187919.5962
G5,FALSE,AM_91224_S_7,atpe,VIC,Unknown,37.03033187843464,0.013709488,37285.21912
G6,FALSE,AM_91224_S_7,atpe,VIC,Unknown,34.87979702694736,0.045794544,124545.831
G7,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,0,0
G8,FALSE,AM_91224_S_11,atpe,VIC,Unknown,Undetermined,0,0
G9,FALSE,AM_91224_S_11,atpe,VIC,Unknown,34.63395461353558,0.052564442,142957.6874
H1,FALSE,AM_91224_L_8,atpe,VIC,Unknown,35.04118422220351,0.041831714,113768.2598
H2,FALSE,AM_91224_L_8,atpe,VIC,Unknown,34.976347496022086,0.043380798,117981.2498
H3,FALSE,AM_91224_L_8,atpe,VIC,Unknown,Undetermined,0,0
H4,FALSE,AM_91224_S_8,atpe,VIC,Unknown,36.74598865958765,0.016079664,43731.30377
H5,FALSE,AM_91224_S_8,atpe,VIC,Unknown,34.141320891335795,0.069291476,188449.6209
H6,FALSE,AM_91224_S_8,atpe,VIC,Unknown,Undetermined,0,0
H7,FALSE,AM_91224_S_12,atpe,VIC,Unknown,35.36552305135464,0.034874537,94847.06715
H8,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,0,0
H9,FALSE,AM_91224_S_12,atpe,VIC,Unknown,Undetermined,0,0